epoch,mem_avail_gb,swap_used_gb,gpu_util_pct,gpu_power_w,gpu_sm_mhz
1788684726,112,1,0,6.07,208
1788684731,103,1,2,12.95,2281
1788684736,96,1,4,12.92,2281
1788684741,88,1,4,12.82,2281
1788684746,81,1,4,12.75,2281
1788684751,73,1,5,12.58,2281
1788684756,65,1,4,12.51,2281
1788684761,50,1,0,12.40,2281
1788684766,48,1,3,12.35,2281
1788684771,46,1,14,15.32,2275
1788684776,22,1,0,11.98,2281
1788684781,22,1,96,43.83,2281
1788684786,22,1,88,31.70,2281
1788684791,22,1,90,31.89,2281
1788684796,22,1,96,43.83,2281
1788684802,22,1,89,32.05,2281
1788684807,22,1,90,31.99,2281
1788684812,22,1,96,38.13,2281
1788684817,22,1,91,32.44,2281
1788684822,22,1,90,32.18,2281
1788684827,22,1,85,34.73,2281
1788684832,21,1,90,32.56,2281
1788684837,21,1,90,32.51,2281
1788684842,21,1,91,32.80,2281
1788684847,21,1,91,32.74,2281
1788684852,21,1,90,32.80,2281
1788684857,21,1,91,32.77,2281
1788684862,22,1,90,31.83,2281
1788684867,21,1,96,45.58,2281
1788684872,21,1,90,32.76,2281
1788684877,21,1,90,32.81,2281
1788684882,21,1,90,32.94,2281
1788684887,21,1,90,32.92,2281
1788684892,21,1,91,32.79,2281
1788684897,21,1,91,32.94,2281
1788684902,22,1,90,30.93,2281
1788684907,21,1,96,46.14,2281
1788684912,21,1,91,33.03,2281
1788684917,21,1,90,32.99,2281
1788684923,21,1,91,33.00,2281
1788684928,21,1,90,33.06,2281
1788684933,21,1,90,33.11,2281
1788684938,21,1,90,32.93,2281
1788684943,22,1,96,44.50,2275
1788684948,21,1,63,36.55,2281
1788684953,20,1,96,45.11,2275
1788684958,20,1,90,33.69,2281
1788684963,20,1,91,33.57,2281
1788684968,20,1,90,33.66,2281
1788684973,20,1,90,33.73,2281
1788684978,20,1,91,33.70,2281
1788684983,20,1,91,33.86,2281
1788684988,20,1,90,33.74,2281
1788684993,20,1,90,33.80,2281
1788684998,20,1,90,33.81,2281
1788685003,20,1,91,33.78,2281
1788685008,20,1,91,33.82,2281
1788685013,20,1,89,33.74,2281
1788685018,20,1,91,33.85,2281
1788685023,21,1,90,33.23,2281
1788685028,22,1,96,44.29,2275
1788685033,21,1,49,37.32,2281
1788685038,20,1,96,45.68,2275
1788685044,20,1,91,33.68,2281
1788685049,20,1,91,33.88,2281
1788685054,20,1,91,33.79,2281
1788685059,20,1,90,33.87,2281
1788685064,20,1,90,33.76,2281
1788685069,20,1,91,33.99,2281
1788685074,20,1,91,33.74,2281
1788685079,20,1,90,33.94,2281
1788685084,20,1,91,33.82,2281
1788685089,20,1,90,33.96,2281
1788685094,20,1,89,33.95,2281
1788685099,20,1,90,33.97,2281
1788685104,20,1,91,34.01,2281
1788685109,21,1,90,33.37,2281
1788685114,21,1,96,45.19,2275
1788685119,21,1,96,43.70,2275
1788685124,20,1,96,44.36,2275
1788685129,20,1,91,33.95,2281
1788685134,20,1,91,33.96,2281
1788685139,20,1,91,34.03,2281
1788685144,20,1,92,33.94,2281
1788685149,20,1,89,34.04,2281
1788685154,20,1,90,33.98,2281
1788685159,20,1,88,33.96,2281
1788685165,20,1,91,33.95,2281
1788685170,20,1,91,33.94,2281
1788685175,20,1,89,34.11,2281
1788685180,20,1,90,34.00,2281
1788685185,20,1,91,34.10,2281
1788685190,21,1,90,33.30,2281
1788685195,22,1,89,33.06,2281
1788685200,21,1,90,33.56,2281
1788685205,21,1,89,33.51,2281
1788685210,21,1,90,33.54,2281
1788685215,21,1,96,43.47,2275
1788685220,20,1,88,34.26,2281
1788685225,20,1,90,34.21,2281
1788685230,20,1,90,34.14,2281
1788685235,20,1,90,34.17,2281
1788685240,20,1,91,34.23,2281
1788685245,20,1,90,34.28,2281
1788685250,21,1,90,33.61,2281
1788685255,21,1,90,33.68,2281
1788685260,21,1,90,33.66,2281
1788685265,21,1,90,33.55,2281
1788685270,20,1,90,34.29,2281
1788685275,20,1,91,34.33,2281
1788685281,20,1,90,34.22,2281
1788685286,20,1,90,34.22,2281
1788685291,20,1,90,34.33,2281
1788685296,20,1,90,34.31,2281
