FINGERPRINT port=8899 model=qwen3.8-flash-next-exl3 label=short prompt_tokens~2000 max_tokens=300 temp=0 effort=low stream=1 prompt_class=salted-log+code-task concurrency=[1, 2, 4] repeats=3 salt=4242 abort_avail_gb=8.0 abort_swap_delta_gb=4.0 date=2026-09-06T05:02:39
CELL {"label": "short", "C": 1, "rep": 0, "streams_ok": 1, "errors": [], "prompt_tokens": [2025], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [27.16], "median_per_stream_tok_s": 27.16, "aggregate_decode_tok_s": 27.26, "aggregate_wall_tok_s": 20.42, "ttft_s": [3.7], "cell_wall_s": 14.7, "aborted": false, "streams": [0], "content_sha256": ["ac8934c80e85aa3b"], "min_avail_gb": 22.3, "max_swap_used_gb": 1.0, "swap_delta_gb": 0.0, "gpu_samples": ["88,31.90", "91,32.03", "89,32.01"]}
CELL {"label": "short", "C": 1, "rep": 1, "streams_ok": 1, "errors": [], "prompt_tokens": [2034], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [27.44], "median_per_stream_tok_s": 27.44, "aggregate_decode_tok_s": 27.53, "aggregate_wall_tok_s": 20.77, "ttft_s": [3.5], "cell_wall_s": 14.4, "aborted": false, "streams": [0], "content_sha256": ["f1b131b3630ca15a"], "min_avail_gb": 22.2, "max_swap_used_gb": 1.0, "swap_delta_gb": 0.0, "gpu_samples": ["90,28.23", "90,32.18", "88,32.08"]}
CELL {"label": "short", "C": 1, "rep": 2, "streams_ok": 1, "errors": [], "prompt_tokens": [2018], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [26.75], "median_per_stream_tok_s": 26.75, "aggregate_decode_tok_s": 26.84, "aggregate_wall_tok_s": 20.45, "ttft_s": [3.5], "cell_wall_s": 14.7, "aborted": false, "streams": [0], "content_sha256": ["8c8ba8f87d99456b"], "min_avail_gb": 22.2, "max_swap_used_gb": 1.0, "swap_delta_gb": 0.0, "gpu_samples": ["0,35.83", "90,32.63", "90,32.24"]}
CELL {"label": "short", "C": 2, "rep": 0, "streams_ok": 2, "errors": [], "prompt_tokens": [2023, 2008], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [9.59, 9.34], "median_per_stream_tok_s": 9.47, "aggregate_decode_tok_s": 16.89, "aggregate_wall_tok_s": 15.36, "ttft_s": [3.5, 7.0], "cell_wall_s": 39.1, "aborted": false, "streams": [0, 1], "content_sha256": ["d870ac11a5957b27", "0c8190875799ebda"], "min_avail_gb": 21.6, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["89,32.77", "91,32.92", "89,32.86", "90,32.84", "89,32.90", "90,32.91"]}
CELL {"label": "short", "C": 2, "rep": 1, "streams_ok": 2, "errors": [], "prompt_tokens": [2020, 2012], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [10.86, 10.14], "median_per_stream_tok_s": 10.5, "aggregate_decode_tok_s": 18.2, "aggregate_wall_tok_s": 16.44, "ttft_s": [3.5, 7.0], "cell_wall_s": 36.5, "aborted": false, "streams": [0, 1], "content_sha256": ["cbde4552609fa92a", "58a1631b53050d11"], "min_avail_gb": 21.6, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["91,32.89", "91,32.90", "91,32.99", "90,33.02", "89,32.97", "91,32.90"]}
CELL {"label": "short", "C": 2, "rep": 2, "streams_ok": 2, "errors": [], "prompt_tokens": [2048, 2019], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [10.56, 10.65], "median_per_stream_tok_s": 10.61, "aggregate_decode_tok_s": 18.88, "aggregate_wall_tok_s": 17.01, "ttft_s": [6.9, 3.5], "cell_wall_s": 35.3, "aborted": false, "streams": [0, 1], "content_sha256": ["67f8a301cd383f5f", "51a35174ee677b94"], "min_avail_gb": 21.5, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,44.23", "91,33.18", "91,33.18", "91,33.12", "91,33.24", "90,32.78"]}
CELL {"label": "short", "C": 4, "rep": 0, "streams_ok": 4, "errors": [], "prompt_tokens": [2031, 2038, 2032, 2022], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [4.07, 4.52, 5.0, 3.85], "median_per_stream_tok_s": 4.3, "aggregate_decode_tok_s": 14.79, "aggregate_wall_tok_s": 14.19, "ttft_s": [10.4, 13.9, 3.4, 6.9], "cell_wall_s": 84.6, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["e90712a36f385248", "d0f25ea6ad88bf85", "cb67bf6e047825b3", "3f4b6da64a09a72e"], "min_avail_gb": 20.3, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["90,33.94", "91,33.81", "91,33.88", "91,33.96", "90,33.93", "91,33.33"]}
CELL {"label": "short", "C": 4, "rep": 1, "streams_ok": 4, "errors": [], "prompt_tokens": [2007, 2029, 2013, 2038], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [4.7, 3.98, 3.8, 4.41], "median_per_stream_tok_s": 4.2, "aggregate_decode_tok_s": 14.62, "aggregate_wall_tok_s": 14.02, "ttft_s": [3.5, 10.4, 7.0, 13.9], "cell_wall_s": 85.6, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["3ec31d1d2492ac4d", "9ef73c25a739fb60", "da1f0a14c24a03e2", "dfed3d14cc89471e"], "min_avail_gb": 20.2, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["91,34.04", "91,34.01", "62,33.02", "91,34.06", "91,34.14", "91,33.10"]}
CELL {"label": "short", "C": 4, "rep": 2, "streams_ok": 4, "errors": [], "prompt_tokens": [2020, 2024, 2032, 2022], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [4.78, 3.89, 4.49, 4.14], "median_per_stream_tok_s": 4.32, "aggregate_decode_tok_s": 14.92, "aggregate_wall_tok_s": 14.31, "ttft_s": [3.4, 6.9, 13.7, 10.3], "cell_wall_s": 83.8, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["4376d34344601790", "e02456d599199839", "08eb4053aced5d96", "eef5f1ee203a0bd8"], "min_avail_gb": 20.2, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["91,34.02", "94,30.80", "91,34.20", "91,33.78", "91,34.01", "90,33.26"]}

| arm | C | rep | ok | per-stream decode tok/s | median | aggregate decode tok/s | aggregate incl. TTFT | TTFT s | prompt tok | min avail GB | swap delta GB |
|---|---:|---:|---:|---|---:|---:|---:|---|---|---:|---:|
| short | 1 | 0 | 1/1 | [27.16] | 27.16 | 27.26 | 20.42 | [3.7] | [2025] | 22.3 | 0.0 |
| short | 1 | 1 | 1/1 | [27.44] | 27.44 | 27.53 | 20.77 | [3.5] | [2034] | 22.2 | 0.0 |
| short | 1 | 2 | 1/1 | [26.75] | 26.75 | 26.84 | 20.45 | [3.5] | [2018] | 22.2 | 0.0 |
| short | 2 | 0 | 2/2 | [9.59, 9.34] | 9.47 | 16.89 | 15.36 | [3.5, 7.0] | [2023] | 21.6 | -0.0 |
| short | 2 | 1 | 2/2 | [10.86, 10.14] | 10.5 | 18.2 | 16.44 | [3.5, 7.0] | [2020] | 21.6 | -0.0 |
| short | 2 | 2 | 2/2 | [10.56, 10.65] | 10.61 | 18.88 | 17.01 | [6.9, 3.5] | [2048] | 21.5 | -0.0 |
| short | 4 | 0 | 4/4 | [4.07, 4.52, 5.0, 3.85] | 4.3 | 14.79 | 14.19 | [10.4, 13.9, 3.4, 6.9] | [2031] | 20.3 | -0.0 |
| short | 4 | 1 | 4/4 | [4.7, 3.98, 3.8, 4.41] | 4.2 | 14.62 | 14.02 | [3.5, 10.4, 7.0, 13.9] | [2007] | 20.2 | -0.0 |
| short | 4 | 2 | 4/4 | [4.78, 3.89, 4.49, 4.14] | 4.32 | 14.92 | 14.31 | [3.4, 6.9, 13.7, 10.3] | [2020] | 20.2 | -0.0 |
