epoch,mem_avail_gb,swap_used_gb,gpu_util_pct,gpu_power_w,gpu_sm_mhz
1788684291,112,1,0,5.33,208
1788684296,103,1,5,11.53,2281
1788684301,96,1,6,11.55,2281
1788684306,88,1,6,11.53,2281
1788684311,80,1,5,11.55,2281
1788684316,65,1,9,11.54,2281
1788684321,58,1,10,11.47,2281
1788684326,50,1,5,11.48,2281
1788684331,48,1,4,11.47,2281
1788684336,45,1,14,14.75,2275
1788684341,22,1,0,11.04,2281
1788684346,22,1,96,43.20,2275
1788684351,22,1,89,30.63,2275
1788684356,22,1,90,31.04,2275
1788684361,22,1,96,42.67,2281
1788684366,22,1,87,31.14,2275
1788684371,22,1,89,31.12,2275
1788684376,22,1,96,42.51,2281
1788684381,22,1,90,31.62,2281
1788684387,22,1,90,31.52,2281
1788684392,22,1,95,34.57,2281
1788684397,21,1,90,31.74,2281
1788684402,21,1,89,31.74,2281
1788684407,21,1,88,31.75,2281
1788684412,21,1,90,31.80,2281
1788684417,22,1,91,29.32,2281
1788684422,21,1,96,44.79,2281
1788684427,21,1,90,32.08,2281
1788684432,21,1,91,32.08,2281
1788684437,21,1,89,31.80,2281
1788684442,21,1,88,32.03,2281
1788684447,22,1,96,43.64,2281
1788684452,21,1,90,36.60,2281
1788684457,21,1,89,32.40,2281
1788684462,21,1,91,32.35,2281
1788684467,21,1,90,32.27,2281
1788684472,21,1,89,32.22,2281
1788684477,21,1,96,35.15,2281
1788684482,21,1,96,42.77,2281
1788684487,20,1,56,38.40,2281
1788684492,20,1,90,32.55,2281
1788684497,20,1,91,32.31,2281
1788684503,20,1,90,32.63,2281
1788684508,20,1,91,32.56,2281
1788684513,20,1,90,32.61,2281
1788684518,20,1,91,32.49,2281
1788684523,20,1,90,32.63,2281
1788684528,20,1,90,32.53,2281
1788684533,21,1,96,39.76,2281
1788684538,21,1,96,43.76,2281
1788684543,20,1,56,36.94,2281
1788684548,20,1,90,32.73,2281
1788684553,20,1,90,32.71,2281
1788684558,20,1,91,32.82,2281
1788684563,20,1,90,32.83,2281
1788684568,20,1,90,32.78,2281
1788684573,20,1,90,32.83,2281
1788684578,20,1,89,32.78,2281
1788684583,20,1,90,32.78,2281
1788684588,20,1,66,32.42,2281
1788684593,21,1,96,36.44,2281
1788684598,20,1,96,44.89,2275
1788684603,20,1,95,37.71,2281
1788684608,21,1,91,32.79,2281
1788684613,21,1,91,32.86,2281
1788684618,21,1,90,32.86,2281
1788684624,21,1,90,32.95,2281
1788684629,21,1,90,33.00,2281
1788684634,21,1,91,32.75,2281
1788684639,21,1,89,33.05,2281
1788684644,21,1,90,33.13,2281
1788684649,22,1,90,33.16,2281
1788684654,22,1,94,42.71,2275
1788684659,22,1,89,33.12,2281
1788684664,22,1,96,41.70,2275
1788684669,20,1,90,33.15,2281
1788684674,20,1,90,33.18,2281
1788684679,20,1,90,33.15,2281
1788684684,20,1,91,33.16,2281
1788684689,21,1,90,33.31,2281
1788684694,21,1,91,33.23,2281
1788684699,20,1,95,31.60,2281
1788684704,20,1,91,33.20,2281
1788684709,20,1,91,33.22,2281
1788684714,20,1,90,33.19,2281
