FINGERPRINT port=8899 model=qwen3.8-flash-next-exl3 label=short prompt_tokens~2000 max_tokens=300 temp=0 effort=low stream=1 prompt_class=salted-log+code-task concurrency=[1, 2, 4] repeats=3 salt=4242 abort_avail_gb=8.0 abort_swap_delta_gb=4.0 date=2026-09-06T04:45:44
CELL {"label": "short", "C": 1, "rep": 0, "streams_ok": 1, "errors": [], "prompt_tokens": [2025], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [27.13], "median_per_stream_tok_s": 27.13, "aggregate_decode_tok_s": 27.22, "aggregate_wall_tok_s": 20.39, "ttft_s": [3.7], "cell_wall_s": 14.7, "aborted": false, "streams": [0], "content_sha256": ["ac8934c80e85aa3b"], "min_avail_gb": 22.2, "max_swap_used_gb": 1.0, "swap_delta_gb": 0.0, "gpu_samples": ["90,30.66", "90,30.75", "90,31.06"]}
CELL {"label": "short", "C": 1, "rep": 1, "streams_ok": 1, "errors": [], "prompt_tokens": [2034], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [27.37], "median_per_stream_tok_s": 27.37, "aggregate_decode_tok_s": 27.46, "aggregate_wall_tok_s": 20.74, "ttft_s": [3.5], "cell_wall_s": 14.5, "aborted": false, "streams": [0], "content_sha256": ["f1b131b3630ca15a"], "min_avail_gb": 22.2, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["78,29.39", "90,31.10", "90,31.09"]}
CELL {"label": "short", "C": 1, "rep": 2, "streams_ok": 1, "errors": [], "prompt_tokens": [2018], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [26.74], "median_per_stream_tok_s": 26.74, "aggregate_decode_tok_s": 26.83, "aggregate_wall_tok_s": 20.46, "ttft_s": [3.5], "cell_wall_s": 14.7, "aborted": false, "streams": [0], "content_sha256": ["8c8ba8f87d99456b"], "min_avail_gb": 22.1, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,38.66", "90,31.60", "88,31.29"]}
CELL {"label": "short", "C": 2, "rep": 0, "streams_ok": 2, "errors": [], "prompt_tokens": [2023, 2008], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [13.64, 11.91], "median_per_stream_tok_s": 12.78, "aggregate_decode_tok_s": 23.65, "aggregate_wall_tok_s": 20.79, "ttft_s": [6.9, 3.5], "cell_wall_s": 28.9, "aborted": false, "streams": [0, 1], "content_sha256": ["d870ac11a5957b27", "2e9bd00d5e9f4e85"], "min_avail_gb": 21.6, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,43.58", "96,42.28", "90,31.76", "90,31.75", "89,31.64", "88,31.64"]}
CELL {"label": "short", "C": 2, "rep": 1, "streams_ok": 2, "errors": [], "prompt_tokens": [2020, 2012], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [14.18, 11.99], "median_per_stream_tok_s": 13.09, "aggregate_decode_tok_s": 24.07, "aggregate_wall_tok_s": 21.14, "ttft_s": [6.9, 3.4], "cell_wall_s": 28.4, "aborted": false, "streams": [0, 1], "content_sha256": ["6c9fd9fde7604364", "f3758d6abfe78627"], "min_avail_gb": 21.5, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,43.15", "90,32.70", "90,32.01", "90,31.95", "89,32.04", "90,31.65"]}
CELL {"label": "short", "C": 2, "rep": 2, "streams_ok": 2, "errors": [], "prompt_tokens": [2048, 2019], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [14.18, 12.12], "median_per_stream_tok_s": 13.15, "aggregate_decode_tok_s": 24.32, "aggregate_wall_tok_s": 21.31, "ttft_s": [6.9, 3.4], "cell_wall_s": 28.2, "aborted": false, "streams": [0, 1], "content_sha256": ["b8d965885ba101ab", "3d73c8bf05874dfd"], "min_avail_gb": 21.4, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,35.24", "90,32.36", "90,32.28", "90,32.32", "91,32.13"]}
CELL {"label": "short", "C": 4, "rep": 0, "streams_ok": 4, "errors": [], "prompt_tokens": [2031, 2038, 2032, 2022], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [5.46, 6.71, 5.82, 6.47], "median_per_stream_tok_s": 6.14, "aggregate_decode_tok_s": 21.82, "aggregate_wall_tok_s": 20.5, "ttft_s": [3.5, 13.9, 7.0, 10.5], "cell_wall_s": 58.5, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["449b01318330dbdf", "886800f042d393c5", "61f65ff02b7112ad", "fbb3a11fbd7f558d"], "min_avail_gb": 20.1, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["91,32.54", "90,32.63", "90,32.49", "91,32.45", "91,32.54", "91,31.62"]}
CELL {"label": "short", "C": 4, "rep": 1, "streams_ok": 4, "errors": [], "prompt_tokens": [2007, 2029, 2013, 2038], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [5.61, 6.83, 6.35, 5.93], "median_per_stream_tok_s": 6.14, "aggregate_decode_tok_s": 22.15, "aggregate_wall_tok_s": 20.81, "ttft_s": [3.5, 13.8, 10.4, 6.9], "cell_wall_s": 57.7, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["ece0943e4290fc4d", "b54a05364226b684", "da1f0a14c24a03e2", "84966e98e3312580"], "min_avail_gb": 20.1, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["90,32.81", "90,32.86", "90,32.77", "91,32.83", "90,32.72", "89,32.72"]}
CELL {"label": "short", "C": 4, "rep": 2, "streams_ok": 4, "errors": [], "prompt_tokens": [2020, 2024, 2032, 2022], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [5.61, 6.14, 6.46, 6.93], "median_per_stream_tok_s": 6.3, "aggregate_decode_tok_s": 22.43, "aggregate_wall_tok_s": 21.08, "ttft_s": [3.4, 6.8, 10.2, 13.8], "cell_wall_s": 56.9, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["32f600299e7e7ba9", "704b2f56f0b3649b", "7fb128893c76b6e5", "c29a8b2693057e01"], "min_avail_gb": 20.5, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["89,32.92", "91,32.95", "89,32.99", "90,32.79", "91,33.00", "84,32.79"]}

| arm | C | rep | ok | per-stream decode tok/s | median | aggregate decode tok/s | aggregate incl. TTFT | TTFT s | prompt tok | min avail GB | swap delta GB |
|---|---:|---:|---:|---|---:|---:|---:|---|---|---:|---:|
| short | 1 | 0 | 1/1 | [27.13] | 27.13 | 27.22 | 20.39 | [3.7] | [2025] | 22.2 | 0.0 |
| short | 1 | 1 | 1/1 | [27.37] | 27.37 | 27.46 | 20.74 | [3.5] | [2034] | 22.2 | -0.0 |
| short | 1 | 2 | 1/1 | [26.74] | 26.74 | 26.83 | 20.46 | [3.5] | [2018] | 22.1 | -0.0 |
| short | 2 | 0 | 2/2 | [13.64, 11.91] | 12.78 | 23.65 | 20.79 | [6.9, 3.5] | [2023] | 21.6 | -0.0 |
| short | 2 | 1 | 2/2 | [14.18, 11.99] | 13.09 | 24.07 | 21.14 | [6.9, 3.4] | [2020] | 21.5 | -0.0 |
| short | 2 | 2 | 2/2 | [14.18, 12.12] | 13.15 | 24.32 | 21.31 | [6.9, 3.4] | [2048] | 21.4 | -0.0 |
| short | 4 | 0 | 4/4 | [5.46, 6.71, 5.82, 6.47] | 6.14 | 21.82 | 20.5 | [3.5, 13.9, 7.0, 10.5] | [2031] | 20.1 | -0.0 |
| short | 4 | 1 | 4/4 | [5.61, 6.83, 6.35, 5.93] | 6.14 | 22.15 | 20.81 | [3.5, 13.8, 10.4, 6.9] | [2007] | 20.1 | -0.0 |
| short | 4 | 2 | 4/4 | [5.61, 6.14, 6.46, 6.93] | 6.3 | 22.43 | 21.08 | [3.4, 6.8, 10.2, 13.8] | [2020] | 20.5 | -0.0 |
