FINGERPRINT port=8899 model=qwen3.8-flash-next-exl3 label=short prompt_tokens~2000 max_tokens=300 temp=0 effort=low stream=1 prompt_class=salted-log+code-task concurrency=[1, 2, 4] repeats=3 salt=4242 abort_avail_gb=8.0 abort_swap_delta_gb=4.0 date=2026-09-06T05:12:08
CELL {"label": "short", "C": 1, "rep": 0, "streams_ok": 1, "errors": [], "prompt_tokens": [2025], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [27.15], "median_per_stream_tok_s": 27.15, "aggregate_decode_tok_s": 27.24, "aggregate_wall_tok_s": 20.41, "ttft_s": [3.6], "cell_wall_s": 14.7, "aborted": false, "streams": [0], "content_sha256": ["ac8934c80e85aa3b"], "min_avail_gb": 23.2, "max_swap_used_gb": 1.0, "swap_delta_gb": 0.0, "gpu_samples": ["90,31.72", "89,30.85", "87,31.87"]}
CELL {"label": "short", "C": 1, "rep": 1, "streams_ok": 1, "errors": [], "prompt_tokens": [2034], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [27.5], "median_per_stream_tok_s": 27.5, "aggregate_decode_tok_s": 27.59, "aggregate_wall_tok_s": 20.83, "ttft_s": [3.5], "cell_wall_s": 14.4, "aborted": false, "streams": [0], "content_sha256": ["f1b131b3630ca15a"], "min_avail_gb": 23.2, "max_swap_used_gb": 1.0, "swap_delta_gb": 0.0, "gpu_samples": ["88,28.99", "90,32.10", "89,32.03"]}
CELL {"label": "short", "C": 1, "rep": 2, "streams_ok": 1, "errors": [], "prompt_tokens": [2018], "completion_tokens": [300], "finish": ["length"], "per_stream_tok_s": [26.72], "median_per_stream_tok_s": 26.72, "aggregate_decode_tok_s": 26.81, "aggregate_wall_tok_s": 20.46, "ttft_s": [3.4], "cell_wall_s": 14.7, "aborted": false, "streams": [0], "content_sha256": ["8c8ba8f87d99456b"], "min_avail_gb": 23.1, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,38.74", "90,32.53", "89,32.23"]}
CELL {"label": "short", "C": 2, "rep": 0, "streams_ok": 2, "errors": [], "prompt_tokens": [2023, 2008], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [11.81, 13.97], "median_per_stream_tok_s": 12.89, "aggregate_decode_tok_s": 23.7, "aggregate_wall_tok_s": 20.83, "ttft_s": [3.5, 6.9], "cell_wall_s": 28.8, "aborted": false, "streams": [0, 1], "content_sha256": ["d870ac11a5957b27", "b77a386863a5ad91"], "min_avail_gb": 22.5, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,44.97", "96,43.52", "91,32.58", "90,32.53", "89,32.52", "90,32.47"]}
CELL {"label": "short", "C": 2, "rep": 1, "streams_ok": 2, "errors": [], "prompt_tokens": [2020, 2012], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [12.3, 13.84], "median_per_stream_tok_s": 13.07, "aggregate_decode_tok_s": 23.96, "aggregate_wall_tok_s": 21.03, "ttft_s": [3.4, 6.9], "cell_wall_s": 28.5, "aborted": false, "streams": [0, 1], "content_sha256": ["baa02ccb31a678d6", "25ea5715d7c0c844"], "min_avail_gb": 22.4, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,44.14", "70,32.50", "91,32.81", "90,32.71", "89,32.72", "90,30.97"]}
CELL {"label": "short", "C": 2, "rep": 2, "streams_ok": 2, "errors": [], "prompt_tokens": [2048, 2019], "completion_tokens": [300, 300], "finish": ["length", "length"], "per_stream_tok_s": [11.9, 14.26], "median_per_stream_tok_s": 13.08, "aggregate_decode_tok_s": 23.88, "aggregate_wall_tok_s": 20.98, "ttft_s": [3.4, 6.9], "cell_wall_s": 28.6, "aborted": false, "streams": [0, 1], "content_sha256": ["b6331d37da69e8bb", "ffcc0f500f8f21b1"], "min_avail_gb": 22.4, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["96,41.64", "90,33.00", "90,32.88", "90,32.91", "88,32.98"]}
CELL {"label": "short", "C": 4, "rep": 0, "streams_ok": 4, "errors": [], "prompt_tokens": [2031, 2038, 2032, 2022], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [5.48, 6.7, 6.24, 6.03], "median_per_stream_tok_s": 6.14, "aggregate_decode_tok_s": 21.86, "aggregate_wall_tok_s": 20.56, "ttft_s": [3.4, 13.7, 10.3, 6.9], "cell_wall_s": 58.4, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["449b01318330dbdf", "886800f042d393c5", "61f65ff02b7112ad", "fbb3a11fbd7f558d"], "min_avail_gb": 21.3, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["91,33.07", "90,33.15", "90,32.97", "91,33.06", "90,33.00", "90,33.20"]}
CELL {"label": "short", "C": 4, "rep": 1, "streams_ok": 4, "errors": [], "prompt_tokens": [2007, 2029, 2013, 2038], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [6.43, 5.57, 7.03, 6.02], "median_per_stream_tok_s": 6.23, "aggregate_decode_tok_s": 22.34, "aggregate_wall_tok_s": 20.99, "ttft_s": [10.4, 3.4, 13.7, 6.8], "cell_wall_s": 57.2, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["293a1a49ab21781a", "7cd6d37942a197cb", "733c460f644bb1a0", "2fbe842b4446e724"], "min_avail_gb": 21.2, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["90,33.26", "91,33.24", "89,33.20", "89,33.09", "90,33.06", "90,33.10"]}
CELL {"label": "short", "C": 4, "rep": 2, "streams_ok": 4, "errors": [], "prompt_tokens": [2020, 2024, 2032, 2022], "completion_tokens": [300, 300, 300, 300], "finish": ["length", "length", "length", "length"], "per_stream_tok_s": [6.38, 7.36, 5.59, 6.01], "median_per_stream_tok_s": 6.2, "aggregate_decode_tok_s": 22.38, "aggregate_wall_tok_s": 21.03, "ttft_s": [10.2, 13.5, 3.4, 6.9], "cell_wall_s": 57.1, "aborted": false, "streams": [0, 1, 2, 3], "content_sha256": ["2aafad355ce3a8d0", "923e4e3cd50d36e0", "50d97169f60e0312", "d4831c95146d76f6"], "min_avail_gb": 21.1, "max_swap_used_gb": 1.0, "swap_delta_gb": -0.0, "gpu_samples": ["89,32.95", "91,33.33", "91,33.19", "91,33.19", "90,33.30", "91,33.28"]}

| arm | C | rep | ok | per-stream decode tok/s | median | aggregate decode tok/s | aggregate incl. TTFT | TTFT s | prompt tok | min avail GB | swap delta GB |
|---|---:|---:|---:|---|---:|---:|---:|---|---|---:|---:|
| short | 1 | 0 | 1/1 | [27.15] | 27.15 | 27.24 | 20.41 | [3.6] | [2025] | 23.2 | 0.0 |
| short | 1 | 1 | 1/1 | [27.5] | 27.5 | 27.59 | 20.83 | [3.5] | [2034] | 23.2 | 0.0 |
| short | 1 | 2 | 1/1 | [26.72] | 26.72 | 26.81 | 20.46 | [3.4] | [2018] | 23.1 | -0.0 |
| short | 2 | 0 | 2/2 | [11.81, 13.97] | 12.89 | 23.7 | 20.83 | [3.5, 6.9] | [2023] | 22.5 | -0.0 |
| short | 2 | 1 | 2/2 | [12.3, 13.84] | 13.07 | 23.96 | 21.03 | [3.4, 6.9] | [2020] | 22.4 | -0.0 |
| short | 2 | 2 | 2/2 | [11.9, 14.26] | 13.08 | 23.88 | 20.98 | [3.4, 6.9] | [2048] | 22.4 | -0.0 |
| short | 4 | 0 | 4/4 | [5.48, 6.7, 6.24, 6.03] | 6.14 | 21.86 | 20.56 | [3.4, 13.7, 10.3, 6.9] | [2031] | 21.3 | -0.0 |
| short | 4 | 1 | 4/4 | [6.43, 5.57, 7.03, 6.02] | 6.23 | 22.34 | 20.99 | [10.4, 3.4, 13.7, 6.8] | [2007] | 21.2 | -0.0 |
| short | 4 | 2 | 4/4 | [6.38, 7.36, 5.59, 6.01] | 6.2 | 22.38 | 21.03 | [10.2, 13.5, 3.4, 6.9] | [2020] | 21.1 | -0.0 |
