epoch,mem_avail_gb,swap_used_gb,gpu_util_pct,gpu_power_w,gpu_sm_mhz
1788686984,113,1,0,4.93,208
1788686989,104,1,4,10.60,2288
1788686994,97,1,4,10.67,2288
1788686999,89,1,6,10.67,2288
1788687004,82,1,3,10.69,2288
1788687009,74,1,5,10.77,2288
1788687014,66,1,4,10.81,2288
1788687019,52,1,3,10.80,2288
1788687024,49,1,3,10.79,2288
1788687029,47,1,15,13.70,2288
1788687034,23,1,0,11.73,2288
1788687039,23,1,89,30.03,2275
1788687044,23,1,96,33.82,2275
1788687049,23,1,79,29.82,2275
1788687054,23,1,84,33.67,2275
1788687059,23,1,90,30.09,2275
1788687064,23,1,91,31.81,2275
1788687070,23,1,89,30.10,2275
1788687075,23,1,89,33.99,2275
1788687080,22,1,90,31.10,2275
1788687085,22,1,85,30.18,2275
1788687090,22,1,90,31.55,2275
1788687095,22,1,87,34.66,2281
1788687100,22,1,89,31.45,2275
1788687105,22,1,90,31.40,2275
1788687110,22,1,90,31.85,2275
1788687115,22,1,89,33.43,2275
1788687120,22,1,90,31.72,2281
1788687125,22,1,90,31.92,2275
1788687130,22,1,90,31.92,2281
1788687135,21,1,95,34.19,2281
1788687140,21,1,90,31.61,2281
1788687145,21,1,89,31.91,2281
1788687150,21,1,90,31.90,2281
1788687155,21,1,90,32.01,2281
1788687160,21,1,90,32.05,2281
1788687165,21,1,90,32.00,2281
1788687170,22,1,84,31.75,2281
1788687175,21,1,90,32.10,2281
1788687180,21,1,90,32.04,2281
1788687186,21,1,90,32.27,2281
1788687191,22,1,91,31.68,2281
1788687196,21,1,90,32.18,2281
1788687201,20,1,89,32.21,2281
1788687206,21,1,91,32.34,2281
1788687211,21,1,87,36.52,2281
1788687216,20,1,91,32.25,2281
1788687221,20,1,90,32.29,2281
1788687226,20,1,91,32.34,2281
1788687231,20,1,90,32.42,2281
1788687236,20,1,90,32.32,2281
1788687241,20,1,91,32.40,2281
1788687246,22,1,90,31.65,2281
1788687251,22,1,91,32.47,2281
1788687256,22,1,90,32.50,2281
1788687261,22,1,90,32.46,2281
1788687266,22,1,90,32.47,2281
1788687271,22,1,91,32.59,2281
1788687276,22,1,91,32.67,2281
1788687281,21,1,90,32.64,2281
1788687286,21,1,91,32.67,2281
1788687291,21,1,90,32.62,2281
1788687296,21,1,90,32.74,2281
1788687302,21,1,95,37.52,2281
1788687307,21,1,90,32.74,2281
1788687312,21,1,91,32.65,2281
1788687317,21,1,90,32.71,2281
1788687322,21,1,90,39.63,2281
1788687327,21,1,90,32.78,2281
1788687332,21,1,90,32.74,2281
1788687337,21,1,91,32.78,2281
1788687342,21,1,69,42.19,2281
1788687347,20,1,90,32.84,2281
1788687352,20,1,90,32.72,2281
1788687357,20,1,90,32.82,2281
1788687362,20,1,95,30.98,2281
1788687367,20,1,91,32.75,2281
1788687372,20,1,91,32.79,2281
1788687377,21,1,89,31.51,2281
1788687382,21,1,96,43.30,2281
1788687387,20,1,91,32.76,2281
1788687392,20,1,90,32.93,2281
1788687397,20,1,89,32.91,2281
1788687402,20,1,93,31.32,2281
1788687407,20,1,90,33.00,2281
1788687412,20,1,90,32.93,2281
1788687418,20,1,90,32.94,2281
1788687423,21,1,96,42.44,2281
1788687428,20,1,89,33.11,2281
1788687433,20,1,89,32.99,2281
1788687438,20,1,90,32.95,2281
1788687443,21,1,95,32.68,2281
1788687448,20,1,90,32.98,2281
1788687453,20,1,90,33.11,2281
1788687458,20,1,90,33.01,2281
1788687463,112,1,0,13.96,2281
