epoch,mem_avail_gb,swap_used_gb,gpu_util_pct,gpu_power_w,gpu_sm_mhz
1788687466,112,1,0,6.49,208
1788687471,104,1,4,12.96,2281
1788687476,96,1,4,12.87,2281
1788687481,89,1,2,12.71,2281
1788687486,81,1,5,12.61,2281
1788687491,73,1,4,12.50,2281
1788687496,66,1,5,12.47,2281
1788687501,50,1,0,12.39,2281
1788687506,48,1,0,12.33,2281
1788687511,46,1,15,15.64,2275
1788687516,22,1,0,11.88,2281
1788687521,22,1,89,31.65,2281
1788687526,22,1,93,33.17,2281
1788687531,22,1,95,35.06,2281
1788687536,22,1,94,34.33,2281
1788687541,22,1,95,34.83,2281
1788687546,22,1,95,34.64,2281
1788687551,22,1,94,34.57,2281
1788687556,22,1,85,37.51,2281
1788687561,22,1,89,32.32,2281
1788687566,22,1,96,35.79,2281
1788687572,22,1,91,32.60,2281
1788687577,22,1,95,34.67,2281
1788687582,22,1,89,32.52,2281
1788687587,22,1,96,35.78,2281
1788687592,22,1,90,32.89,2281
1788687597,22,1,89,33.96,2281
1788687602,22,1,90,32.88,2281
1788687607,22,1,89,35.87,2281
1788687612,22,1,91,32.89,2281
1788687617,21,1,86,36.73,2281
1788687622,21,1,90,32.67,2281
1788687627,20,1,90,32.87,2281
1788687632,21,1,90,32.92,2281
1788687637,21,1,96,38.45,2281
1788687642,20,1,90,32.92,2281
1788687647,20,1,91,32.85,2281
1788687652,20,1,90,32.93,2281
1788687657,22,1,83,37.34,2281
1788687662,20,1,91,32.95,2281
1788687667,20,1,90,32.97,2281
1788687672,20,1,89,33.00,2281
1788687677,21,1,96,37.13,2281
1788687682,20,1,90,33.00,2281
1788687688,20,1,90,33.06,2281
1788687693,20,1,89,33.01,2281
1788687698,21,1,95,38.88,2281
1788687703,20,1,89,33.06,2281
1788687708,21,1,90,33.07,2281
1788687713,20,1,90,33.04,2281
1788687718,21,1,95,37.69,2281
1788687723,20,1,90,33.12,2281
1788687728,20,1,90,33.10,2281
1788687733,20,1,90,33.13,2281
1788687738,22,1,90,37.93,2281
1788687743,22,1,90,32.30,2281
1788687748,22,1,96,41.47,2275
1788687753,22,1,95,32.84,2281
1788687758,22,1,96,38.53,2281
1788687763,22,1,90,33.27,2281
1788687768,22,1,91,32.90,2281
1788687773,21,1,90,33.19,2281
1788687778,21,1,89,33.22,2281
1788687783,21,1,90,33.24,2281
1788687788,21,1,91,33.33,2281
1788687793,21,1,90,33.24,2281
1788687798,21,1,90,33.34,2281
1788687803,21,1,90,33.32,2281
1788687809,22,1,90,33.27,2281
1788687814,21,1,90,33.29,2281
1788687819,21,1,90,33.41,2281
1788687824,21,1,90,33.27,2281
1788687829,22,1,90,33.42,2281
1788687834,20,1,96,44.24,2275
1788687839,20,1,90,33.31,2281
1788687844,20,1,89,33.16,2281
1788687849,21,1,90,32.85,2281
1788687854,20,1,90,33.38,2281
1788687859,20,1,90,33.28,2281
1788687864,20,1,90,33.26,2281
1788687869,22,1,96,36.95,2281
1788687874,20,1,90,33.72,2281
1788687879,20,1,89,33.03,2281
1788687884,20,1,90,33.14,2281
1788687889,21,1,90,33.13,2281
1788687894,20,1,90,33.22,2281
1788687899,20,1,90,33.18,2281
1788687904,20,1,91,33.18,2281
1788687909,22,1,90,33.02,2281
1788687914,20,1,96,39.61,2281
1788687919,20,1,90,33.11,2281
1788687925,20,1,90,33.05,2281
1788687930,20,1,90,33.16,2281
1788687935,20,1,90,33.15,2281
1788687940,20,1,91,33.05,2281
1788687945,20,1,90,33.16,2281
1788687950,22,1,84,32.34,2281
