Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.5,8140973872,262,31072419.4,39151576.0,8608,40875632,14441360.7,cuMemcpyDtoHAsync_v2
34.4,5654929264,313358,18046.2,3056.0,1712,9220080,57429.0,cuLaunchKernel
8.0,1320875440,60056,21994.1,2944.0,1792,966976,66810.1,cuLaunchCooperativeKernel
5.3,868915888,40596,21404.0,3264.0,2032,897632,48904.2,cudaLaunchKernel
1.4,225900928,19303,11702.9,3488.0,2080,372928,21992.2,cudaLaunchKernelExC_v11060
1.1,187018528,7804,23964.4,5152.0,2256,212080,32401.6,cuMemcpyDtoDAsync_v2
0.1,8748080,25,349923.2,257120.0,23744,730848,195385.8,cuMemAlloc_v2
0.1,8405808,31413,267.6,192.0,128,10992,286.7,cuEventRecord
0.1,8278848,1199,6904.8,3600.0,1696,975712,28588.2,cuMemcpyHtoDAsync_v2
0.0,6987520,38606,181.0,160.0,96,340928,1740.6,cuKernelGetFunction
0.0,6408848,338,18961.1,1968.0,304,3862880,214892.5,cuStreamSynchronize
0.0,3359152,1,3359152.0,3359152.0,3359152,3359152,0.0,cuKernelSetAttribute
0.0,2676544,25,107061.8,94752.0,22528,375360,65631.4,cuMemFree_v2
0.0,2310912,679,3403.4,3168.0,1856,44240,2038.2,cuMemsetD8Async
0.0,1948464,40596,48.0,32.0,0,1744,54.6,cuKernelGetName
0.0,1135312,19303,58.8,64.0,0,2544,35.3,cudaMemsetAsync
0.0,281696,12,23474.7,21392.0,17808,44272,6983.0,cuLaunchKernelEx
0.0,241536,12,20128.0,19376.0,14784,27920,4173.0,cudaMemcpy2DAsync
0.0,75088,441,170.3,128.0,80,2784,158.8,cuGetProcAddress_v2
0.0,60816,8,7602.0,7288.0,6352,10416,1323.5,cuMemGetInfo_v2
0.0,44496,1,44496.0,44496.0,44496,44496,0.0,cuLibraryLoadData
0.0,5136,5,1027.2,816.0,288,1856,761.9,cuLibraryGetKernel
0.0,4576,2,2288.0,2288.0,2256,2320,45.3,cuStreamWaitEvent
0.0,3792,1,3792.0,3792.0,3792,3792,0.0,cuInit
0.0,64,1,64.0,64.0,64,64,0.0,cuModuleGetLoadingMode
