Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.7,7910512832,28848,274213.6,359040.0,90272,1020640,129127.2,w4a16_gemm
8.9,1388179840,16716,83045.0,94912.0,52960,271392,23789.5,exl3_gemm_k6_cb2_sh3_f32
7.4,1159095648,19104,60672.9,59552.0,51072,326816,8029.0,exl3_mgemm_k4_cb2_sh2_f16
4.8,749282464,19303,38816.9,35104.0,28480,220608,6919.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
4.8,749157600,19303,38810.4,33376.0,27520,181952,9113.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
4.6,722999328,14376,50292.1,62656.0,17120,248640,24042.8,exl3_gemm_k6_cb2_sh2_f32
3.7,582214816,9552,60952.1,60608.0,54688,208192,4137.7,exl3_mgemm_k4_cb2_sh4_f32
2.6,411259200,200,2056296.0,2047776.0,2008224,2616384,46003.8,exl3_gemm_k6_cb2_sh4_f32
1.6,253537696,7164,35390.5,35232.0,32128,82144,1657.9,gated_delta_rule_decode_f32
1.6,250739104,19400,12924.7,12896.0,12320,113568,1190.2,hc_pre_mix
1.2,187931392,19400,9687.2,9376.0,9024,103008,1719.4,hc_pre_stage_bf16
1.1,178117632,690,258141.5,322528.0,54368,854720,150378.4,dense_gemm_bf16_pipelined
1.0,153073440,48,3189030.0,3174880.0,2218944,4246816,490159.1,exl3_moe_k4_n128_cb2
0.9,142646208,19200,7429.5,8000.0,5120,47520,2214.6,hc_post
0.5,84309536,9552,8826.4,8928.0,5696,56672,1443.4,w4a16_gemv_sw
0.5,71232000,9600,7420.0,7296.0,7072,145888,2066.6,moe_batched_blend
0.4,67416704,9552,7057.9,7040.0,6944,28480,259.5,moe_topk_softmax
0.3,50565952,19104,2646.9,2432.0,2240,32800,860.0,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
