Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.3,4861082064,410640,11837.8,3760.0,1728,420176,21826.5,cuLaunchKernel
32.2,3619297376,1092,3314374.9,548504.0,7184,22028848,5849483.9,cuMemcpyDtoHAsync_v2
9.3,1041510592,74222,14032.4,3856.0,2000,402800,24790.1,cudaLaunchKernel
6.1,683737616,32079,21314.2,5328.0,2272,401328,36026.3,cuMemcpyDtoDAsync_v2
5.2,580270704,56663,10240.7,4544.0,1760,288080,13695.9,cuLaunchCooperativeKernel
3.0,334335360,35826,9332.2,3808.0,2032,1551024,15812.4,cudaLaunchKernelExC_v11060
0.4,49578544,1027,48275.1,4800.0,1728,4947776,240246.8,cuMemcpyHtoDAsync_v2
0.1,11803440,71169,165.9,160.0,96,7360,116.2,cuKernelGetFunction
0.1,11623872,1540,7548.0,712.0,288,3831744,104289.4,cuStreamSynchronize
0.1,11085776,67,165459.3,15184.0,5088,1623856,273978.8,cuMemAlloc_v2
0.1,7845760,30881,254.1,192.0,144,16016,286.9,cuEventRecord
0.0,3632928,67,54222.8,34208.0,6896,368272,57961.3,cuMemFree_v2
0.0,3350320,74222,45.1,32.0,0,5488,62.2,cuKernelGetName
0.0,1917408,35537,54.0,48.0,0,5328,46.0,cudaMemsetAsync
0.0,1249792,511,2445.8,2240.0,1936,40352,1797.7,cuMemsetD8Async
0.0,1135584,315,3605.0,2448.0,2032,69408,5604.4,cuLaunchKernelEx
0.0,973200,104,9357.7,8184.0,3520,27408,5535.0,cudaMemcpy2DAsync
0.0,179744,124,1449.5,1448.0,624,3280,306.6,cuStreamWaitEvent
0.0,67440,7,9634.3,7440.0,6912,15776,3588.3,cuMemGetInfo_v2
