Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
15.8,1576608608,17232,91493.1,77840.0,45152,401504,42629.9,exl3_mgemm_k4_cb2_sh2_f16
11.6,1156461280,12936,89398.7,98752.0,53536,316096,23751.4,exl3_gemm_k6_cb2_sh3_f32
9.1,904109376,35440,25511.0,30368.0,11424,192608,13567.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
7.9,786693120,35440,22197.9,28064.0,11008,168896,10884.3,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
7.9,785645440,8616,91184.5,63952.0,47104,429568,40307.8,exl3_mgemm_k4_cb2_sh4_f32
7.4,735683584,359,2049257.9,2042176.0,2008096,2300128,34116.4,exl3_gemm_k6_cb2_sh4_f32
7.2,721180384,17304,41677.1,56992.0,17280,322400,23238.6,exl3_gemm_k6_cb2_sh2_f32
6.5,643061536,12888,49896.1,54432.0,34112,286592,8467.2,gated_delta_rule_decode_f32
4.5,452730432,69212,6541.2,5984.0,4032,141536,3385.9,w4a16_gemv_sw
2.4,238422848,18498,12889.1,12704.0,12320,168352,1875.2,hc_pre_mix
2.1,211297632,96,2201017.0,2047408.0,1051744,4003072,705608.9,exl3_moe_k4_n128_cb2
1.9,189373211,18736,10107.5,9312.0,8800,141088,2187.1,hc_pre_stage_bf16
1.6,162121184,720,225168.3,237056.0,104864,411648,114201.8,dense_gemm_bf16_pipelined
1.4,143881184,17900,8038.1,8288.0,5120,147072,2655.6,hc_post
1.3,128454048,384,334515.8,399216.0,95840,1102912,142351.8,w4a16_gemm
1.2,123054592,17422,7063.2,7008.0,6880,108672,1010.1,moe_topk_softmax
1.0,94570624,4534,20858.1,20608.0,3168,131648,7024.7,paged_decode_attn
0.8,77481632,4534,17089.0,16512.0,14656,63360,1933.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.7,74338656,34844,2133.5,2304.0,1536,66368,951.8,"void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<float>>>(T4)"
0.6,63937440,8712,7339.0,7232.0,6976,72128,1077.9,moe_batched_blend
0.6,59623424,4296,13878.8,13856.0,13728,28800,369.4,deinterleave_qg
