Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
17.6,1593331808,17376,91697.3,67712.0,45440,557536,43151.3,exl3_mgemm_k4_cb2_sh2_f16
12.8,1166134880,13044,89400.1,98688.0,54112,348768,24009.8,exl3_gemm_k6_cb2_sh3_f32
8.8,794076576,8688,91399.2,62064.0,47648,439584,40375.4,exl3_mgemm_k4_cb2_sh4_f32
8.2,746939040,362,2063367.5,2059296.0,2025728,2332864,29328.9,exl3_gemm_k6_cb2_sh4_f32
8.2,742455648,17448,42552.5,57056.0,17280,269568,24106.2,exl3_gemm_k6_cb2_sh2_f32
7.2,656463936,18457,35567.2,33280.0,27840,286112,6510.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params)
5.0,456116672,69792,6535.4,5920.0,4032,126624,3274.6,w4a16_gemv_sw
4.0,362600640,8640,41967.7,40144.0,29504,164800,9173.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
3.3,298796608,9817,30436.7,29920.0,26912,173056,3382.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Params)
2.6,240035264,18651,12869.8,12704.0,12352,125408,1588.5,hc_pre_mix
2.3,209406464,96,2181317.3,2055600.0,1054144,4390688,673904.3,exl3_moe_k4_n128_cb2
2.1,190656862,18891,10092.5,9344.0,8832,67232,1910.0,hc_pre_stage_bf16
1.9,169420160,726,233361.1,322848.0,104352,806688,122267.9,dense_gemm_bf16_pipelined
1.6,144775200,4320,33512.8,33344.0,28416,185632,3692.3,gated_delta_rule_wy3
1.6,141297056,18048,7829.0,8256.0,5120,153376,2671.4,hc_post
1.4,129094432,384,336183.4,401328.0,95936,869632,141444.5,w4a16_gemm
1.4,123962560,17568,7056.2,7040.0,6912,30560,383.0,moe_topk_softmax
1.1,95732736,4572,20938.9,20992.0,3456,107456,6987.0,paged_decode_attn
