Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
34.0,6363555072,11748,541671.4,493152.0,17312,1341216,320409.2,exl3_gemm_k4_cb2_sh2_f16
13.4,2509295808,48,52276996.0,68115952.0,957728,72767520,30129568.1,qsa_prefill_attn
10.5,1958653184,5874,333444.5,303552.0,10752,853504,196594.0,exl3_gemm_k4_cb2_sh1_f32
9.1,1705366336,252,6767326.7,6895472.0,83232,22816736,5539914.4,exl3_gemm_k6_cb2_sh3_f16
4.8,894429728,72,12422635.1,12028512.0,96544,25682016,12412616.1,gated_delta_rule_prefill_regresident
4.5,840153824,144,5834401.6,8258032.0,93248,9482976,4079814.0,exl3_gemm_k6_cb2_sh2_f32
4.1,770339424,384,2006092.3,1939968.0,96480,4669344,1706408.8,w4a16_gemm
3.3,611145024,1164,525038.7,456624.0,153696,20632352,599529.3,dense_gemm_bf16_pipelined
3.1,585490688,144,4065907.6,4721056.0,999232,7964096,2110768.3,exl3_moe_k4_n128_cb2
1.8,332235040,192,1730390.8,1734368.0,9056,3752640,1725039.8,hc_post
1.6,300560576,12,25046714.7,24972752.0,24634560,25393344,251340.2,inferspark_prefill_64
1.2,223563193,485,460955.0,562592.0,8767,964576,235288.3,hc_pre_stage_bf16
1.1,199387872,5874,33944.1,31568.0,2016,211104,19140.8,exl3_moe_gather_rows_h16
1.0,194884480,72,2706728.9,3815328.0,33280,4655104,1911958.8,exl3_gemm_k6_cb2_sh2_f16
1.0,190408192,144,1322279.1,1916144.0,8384,2151680,931708.0,exl3_moe_reduce_slots_f32
0.9,177114784,5874,30152.3,27392.0,1184,220896,18782.2,exl3_moe_store_slots_f32
0.8,157774976,485,325309.2,399776.0,12544,598336,160812.5,hc_pre_mix
0.5,88456896,216,409522.7,454880.0,3104,953440,315155.3,exl3_f16_to_bf16_2d
0.5,86207328,72,1197324.0,1151072.0,9152,2753632,1199202.1,dense_gemm_ba_gates_prefill
0.5,85823104,505,169946.7,169216.0,1440,599360,158636.8,exl3_bf16_to_f16
0.3,53700608,72,745841.8,712752.0,6208,1843040,745041.9,causal_conv1d_update_prefill_tp
0.3,49318464,288,171244.7,242928.0,1440,335968,120670.5,exl3_f32_to_bf16
0.2,46347232,72,643711.6,634112.0,5088,1514464,643589.4,gated_rms_norm_prefill_sigmoid
0.2,35097952,96,365603.7,362944.0,7040,772000,360315.4,moe_batched_blend
