FILE /home/ms/exl3-ngram-4.05bpw.safetensors  size 36.4 GiB  blocks 9531297  read 4096 B (1 x 4 KiB) O_DIRECT random
reads/sweep 32768  (a real ~8K prefill missed ~31.7K rows)

 workers    wall_ms    per_read_us         IOPS        MiB/s
       1     2513.1           76.7        13039         50.9
       2     1472.6           89.9        22253         86.9
       4      783.4           95.6        41830        163.4
       8      495.0          120.9        66195        258.6
      16      332.4          162.3        98567        385.0
      24      267.8          196.2       122340        477.9
      32      220.2          215.0       148832        581.4
      48      171.0          250.7       191494        748.0
      64      146.3          285.7       224031        875.1
      96      139.1          407.9       235363        919.4
     128      138.2          539.9       237062        926.0
