  L stage                 relL2       cosine       maxabs
  0 in                0.000e+00  1.000000000    0.000e+00
  0 hc_pre_mixed      0.000e+00  1.000000000    0.000e+00
  0 hc_pre_inj        0.000e+00  1.000000000    0.000e+00
  0 qkvz_preconv      0.000e+00  1.000000000    0.000e+00
  0 gates             0.000e+00  1.000000000    0.000e+00
  0 post_conv         0.000e+00  1.000000000    0.000e+00
  0 raw_recur         3.045e-03  0.999995363    1.953e-03
  0 pre_out_proj      4.174e-03  0.999992143    7.812e-03
  0 block_out         4.369e-03  0.999990725    1.953e-03
  0 post_gdn          4.238e-03  0.999991214    1.644e-04
  0 post_moe          3.284e-03  0.999994640    6.018e-04
  1 in                3.316e-03  0.999994593    6.765e-04
  1 hc_pre_mixed      5.698e-03  0.999983791    7.812e-03
  1 hc_pre_inj        0.000e+00  1.000000000    0.000e+00
  1 qkvz_preconv      2.496e-03  0.999996886    3.125e-02
  1 gates             9.823e-04  0.999999518    2.552e-03
  1 post_conv         3.162e-03  0.999995056    1.953e-03
  1 raw_recur         5.256e-03  0.999986220    1.221e-04
  1 pre_out_proj      5.258e-03  0.999986202    7.812e-03
  1 block_out         5.610e-03  0.999984273    5.859e-03
  1 post_gdn          3.335e-03  0.999994527    6.768e-04
  1 post_moe          3.374e-03  0.999994387    6.690e-04
  2 in                3.374e-03  0.999994387    6.690e-04
  2 hc_pre_mixed      5.872e-03  0.999982789    3.125e-02
  2 hc_pre_inj        0.000e+00  1.000000000    0.000e+00
  2 qkvz_preconv      3.165e-03  0.999995335    6.250e-02
  2 gates             1.029e-03  0.999999517    1.773e-03
  2 post_conv         3.634e-03  0.999993508    3.906e-03
  2 raw_recur         4.086e-03  0.999991863    6.104e-05
  2 pre_out_proj      6.595e-03  0.999978400    5.859e-03
  2 block_out         7.750e-03  0.999970190    2.930e-03
  2 post_gdn          3.392e-03  0.999994330    6.692e-04
  2 post_moe          3.182e-03  0.999994965    6.692e-04
  3 in                3.436e-03  0.999994126    6.614e-04
  3 hc_pre_mixed      8.077e-03  0.999967453    2.344e-02
  3 hc_pre_inj        0.000e+00  1.000000000    0.000e+00
  3 qkvz_preconv      3.562e-03  0.999993655    3.125e-02
  3 gates             1.198e-03  0.999999405    2.235e-03
  3 post_conv         3.928e-03  0.999992304    3.906e-03
  3 raw_recur         1.080e-02  0.999942416    1.831e-04
  3 pre_out_proj      2.323e-02  0.999730516    1.562e-02
  3 block_out         2.756e-02  0.999620118    8.301e-03
  3 post_gdn          4.867e-03  0.999988194    6.609e-04
  3 post_moe          6.829e-03  0.999976681    6.754e-04
  3 attn_in           3.182e-03  0.999994965    6.692e-04
  3 post_attn         3.231e-03  0.999994805    6.609e-04
  4 in                6.829e-03  0.999976681    6.754e-04
  4 hc_pre_mixed      1.437e-02  0.999897081    3.906e-02
  4 hc_pre_inj        1.488e-02  0.999996669    7.960e-04
