cold=cold/dump base=0 T=3712 tok0=0
warm=warm/dump base=72 T=464 tok0=3248
overlap tokens [3248,3712)  N=464  cold_rows[3248:3712] warm_rows[0:464]
 mL kind stage                relL2        cosine      maxabs  bitex      ndiff   row0  shape
  0 ssm  in               0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 10240)
  0 ssm  hc_pre_mixed     0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 2560)
  0 ssm  hc_pre_inj       0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 4)
  0 ssm  qkvz_preconv     0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 16384)
  0 ssm  gates            0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 96)
  0 ssm  post_conv        0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 10240)
  0 ssm  raw_recur        0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 6144)
  0 ssm  pre_out_proj     0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 6144)
  0 ssm  block_out        0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 2560)
  0 ssm  post_gdn         0.000e+00   1.000000000   0.000e+00    YES          0     -1  (464, 10240)
  0 ssm  post_moe         3.982e-04   0.999999921   1.761e-03     no     302411      0  (464, 10240)
  1 ssm  in               4.279e-01   0.907294221   3.245e-01     no    4751360      0  (464, 10240)
  1 ssm  hc_pre_mixed     5.259e-01   0.860710499   3.914e+00     no    1174742      0  (464, 2560)
  1 ssm  hc_pre_inj       4.694e-02   0.998910695   9.765e-03     no       1642      0  (464, 4)
  1 ssm  qkvz_preconv     1.572e-01   0.987589362   6.594e+00     no    7471986      0  (464, 16384)
  1 ssm  gates            6.864e-02   0.997646490   6.381e-01     no      43993      0  (464, 96)
  1 ssm  post_conv        1.968e-01   0.980553765   2.520e-01     no    4696043      0  (464, 10240)
  1 ssm  raw_recur        1.201e-01   0.992761949   8.423e-03     no    2820300      0  (464, 6144)
  1 ssm  pre_out_proj     3.427e-01   0.940534099   1.753e+00     no    2831305      0  (464, 6144)
  1 ssm  block_out        3.665e-01   0.931933471   3.227e+00     no    1179880      0  (464, 2560)
  1 ssm  post_gdn         4.325e-01   0.905202019   3.244e-01     no    4751359      0  (464, 10240)
  1 ssm  post_moe         4.343e-01   0.904397394   3.245e-01     no    4751358      0  (464, 10240)
  2 ssm  in               4.343e-01   0.904397394   3.245e-01     no    4751358      0  (464, 10240)
  2 ssm  hc_pre_mixed     4.280e-01   0.908656079   7.797e+00     no    1180495      0  (464, 2560)
  2 ssm  hc_pre_inj       6.155e-02   0.998231099   1.512e-02     no       1614      0  (464, 4)
  2 ssm  qkvz_preconv     1.802e-01   0.983785239   1.600e+01     no    7491422      0  (464, 16384)
  2 ssm  gates            5.983e-02   0.998218087   7.537e-01     no      44501      0  (464, 96)
  2 ssm  post_conv        2.134e-01   0.977328297   3.500e+00     no    4702956      0  (464, 10240)
  2 ssm  raw_recur        1.589e-01   0.987522518   8.453e-03     no    2823739      0  (464, 6144)
  2 ssm  pre_out_proj     3.186e-01   0.949448045   1.907e+00     no    2830301      0  (464, 6144)
  2 ssm  block_out        3.541e-01   0.937311860   2.273e+00     no    1180875      0  (464, 2560)
  2 ssm  post_gdn         4.327e-01   0.905081024   3.246e-01     no    4751360      0  (464, 10240)
  2 ssm  post_moe         3.778e-01   0.927278179   3.256e-01     no    4751360      0  (464, 10240)
  3 attn attn_in          3.778e-01   0.927278179   3.256e-01     no    4751360      0  (464, 10240)
  3 attn post_attn        3.790e-01   0.926777349   3.256e-01     no    4751359      0  (464, 10240)
  4 ssm  in               3.800e-01   0.926405032   3.259e-01     no    4751358      0  (464, 10240)
  4 ssm  hc_pre_mixed     3.658e-01   0.933230915   7.703e+00     no    1180056      0  (464, 2560)
  4 ssm  hc_pre_inj       7.609e-02   0.997134054   3.156e-02     no       1685      0  (464, 4)
  4 ssm  qkvz_preconv     1.532e-01   0.988222492   1.144e+01     no    7474473      0  (464, 16384)
  4 ssm  gates            6.385e-02   0.997970459   7.930e-01     no      44428      0  (464, 96)
  4 ssm  post_conv        1.754e-01   0.984501497   1.219e+00     no    4691715      0  (464, 10240)
  4 ssm  raw_recur        1.973e-01   0.980920604   1.663e-02     no    2828104      0  (464, 6144)
  4 ssm  pre_out_proj     3.923e-01   0.922764405   4.734e+00     no    2833769      0  (464, 6144)
  4 ssm  block_out        4.376e-01   0.901592053   1.174e+00     no    1182268      0  (464, 2560)
  4 ssm  post_gdn         3.808e-01   0.926068806   3.576e-01     no    4751358      0  (464, 10240)
  4 ssm  post_moe         3.821e-01   0.925636275   3.587e-01     no    4751360      0  (464, 10240)
  5 ssm  in               3.821e-01   0.925636275   3.587e-01     no    4751360      0  (464, 10240)
  5 ssm  hc_pre_mixed     3.649e-01   0.934190279   8.062e+00     no    1179665      0  (464, 2560)
  5 ssm  hc_pre_inj       8.278e-02   0.996597221   3.638e-02     no       1719      0  (464, 4)
  5 ssm  qkvz_preconv     1.473e-01   0.989184656   9.146e+00     no    7476452      0  (464, 16384)
  5 ssm  gates            5.445e-02   0.998526256   6.379e-01     no      44450      0  (464, 96)
  5 ssm  post_conv        1.745e-01   0.984716548   9.062e-01     no    4691354      0  (464, 10240)
  5 ssm  raw_recur        1.511e-01   0.988524182   2.502e-02     no    2829447      0  (464, 6144)
  5 ssm  pre_out_proj     3.436e-01   0.940789653   1.755e+00     no    2833905      0  (464, 6144)
  5 ssm  block_out        3.911e-01   0.922277797   7.129e-01     no    1181900      0  (464, 2560)
  5 ssm  post_gdn         3.788e-01   0.926888603   3.274e-01     no    4751359      0  (464, 10240)
  5 ssm  post_moe         3.838e-01   0.924924546   3.298e-01     no    4751360      0  (464, 10240)
  6 ssm  in               3.838e-01   0.924924546   3.298e-01     no    4751360      0  (464, 10240)
  6 ssm  hc_pre_mixed     3.862e-01   0.925847147   3.969e+00     no    1180970      0  (464, 2560)
  6 ssm  hc_pre_inj       1.059e-01   0.994611244   1.881e-02     no       1643      0  (464, 4)
  6 ssm  qkvz_preconv     1.780e-01   0.984094906   7.883e+00     no    7502688      0  (464, 16384)
  6 ssm  gates            4.775e-02   0.998864569   5.755e-01     no      44510      0  (464, 96)
  6 ssm  post_conv        2.204e-01   0.975484893   9.180e-01     no    4709813      0  (464, 10240)
  6 ssm  raw_recur        1.554e-01   0.987914071   3.125e-02     no    2831444      0  (464, 6144)
  6 ssm  pre_out_proj     2.958e-01   0.956765201   1.916e+00     no    2834835      0  (464, 6144)
  6 ssm  block_out        3.010e-01   0.955072295   2.289e+00     no    1180327      0  (464, 2560)
  6 ssm  post_gdn         3.842e-01   0.924799314   3.298e-01     no    4751359      0  (464, 10240)
  6 ssm  post_moe         3.861e-01   0.924165535   3.272e-01     no    4751358      0  (464, 10240)
  7 attn attn_in          3.861e-01   0.924165535   3.272e-01     no    4751358      0  (464, 10240)
  7 attn post_attn        3.765e-01   0.927941149   3.273e-01     no    4751360      0  (464, 10240)
  8 ssm  in               3.757e-01   0.928361418   3.246e-01     no    4751360      0  (464, 10240)
  8 ssm  hc_pre_mixed     5.017e-01   0.874151933   4.297e+00     no    1182295      0  (464, 2560)
  8 ssm  hc_pre_inj       1.253e-01   0.993237440   1.607e-01     no       1745      0  (464, 4)
  8 ssm  qkvz_preconv     1.678e-01   0.985855763   7.531e+00     no    7501238      0  (464, 16384)
  8 ssm  gates            6.458e-02   0.997915926   7.237e-01     no      44100      0  (464, 96)
  8 ssm  post_conv        2.089e-01   0.978227740   1.660e+00     no    4717545      0  (464, 10240)
  8 ssm  raw_recur        1.576e-01   0.991975704   3.662e-02     no    2838974      0  (464, 6144)
  8 ssm  pre_out_proj     5.388e-01   0.852535922   6.436e-01     no    2840700      0  (464, 6144)
  8 ssm  block_out        5.219e-01   0.859462851   7.852e-01     no    1183060      0  (464, 2560)
  8 ssm  post_gdn         3.763e-01   0.928119655   3.551e-01     no    4751359      0  (464, 10240)
  8 ssm  post_moe         3.778e-01   0.927550163   3.561e-01     no    4751357      0  (464, 10240)
  9 ssm  in               3.778e-01   0.927550163   3.561e-01     no    4751357      0  (464, 10240)
  9 ssm  hc_pre_mixed     4.105e-01   0.916585153   6.348e+00     no    1181842      0  (464, 2560)
  9 ssm  hc_pre_inj       1.108e-01   0.994164462   2.602e-02     no       1714      0  (464, 4)
  9 ssm  qkvz_preconv     1.939e-01   0.981184970   8.281e+00     no    7516071      0  (464, 16384)
  9 ssm  gates            4.657e-02   0.998919764   6.055e-01     no      44500      0  (464, 96)
  9 ssm  post_conv        2.244e-01   0.974729685   1.043e+00     no    4716266      0  (464, 10240)
  9 ssm  raw_recur        2.341e-01   0.973632431   1.428e-02     no    2835053      0  (464, 6144)
  9 ssm  pre_out_proj     4.072e-01   0.919998752   2.168e+00     no    2837613      0  (464, 6144)
  9 ssm  block_out        4.605e-01   0.895487147   7.910e-01     no    1182560      0  (464, 2560)
  9 ssm  post_gdn         3.773e-01   0.927715218   3.245e-01     no    4751360      0  (464, 10240)
  9 ssm  post_moe         3.781e-01   0.927385860   3.336e-01     no    4751360      0  (464, 10240)
 10 ssm  in               3.781e-01   0.927385860   3.336e-01     no    4751360      0  (464, 10240)
 10 ssm  hc_pre_mixed     4.171e-01   0.914020326   5.672e+00     no    1182196      0  (464, 2560)
 10 ssm  hc_pre_inj       1.187e-01   0.993150306   3.839e-02     no       1676      0  (464, 4)
 10 ssm  qkvz_preconv     2.033e-01   0.979311709   9.227e+00     no    7516114      0  (464, 16384)
 10 ssm  gates            5.511e-02   0.998495985   5.823e-01     no      44514      0  (464, 96)
 10 ssm  post_conv        2.261e-01   0.974340286   1.168e+00     no    4711151      0  (464, 10240)
 10 ssm  raw_recur        2.144e-01   0.978682678   2.353e-02     no    2833989      0  (464, 6144)
 10 ssm  pre_out_proj     3.841e-01   0.925143556   2.641e+00     no    2837374      0  (464, 6144)
 10 ssm  block_out        4.113e-01   0.912514918   9.785e-01     no    1182175      0  (464, 2560)
 10 ssm  post_gdn         3.769e-01   0.927728765   3.213e-01     no    4751360      0  (464, 10240)
 10 ssm  post_moe         3.794e-01   0.926806344   3.212e-01     no    4751360      0  (464, 10240)
 11 attn attn_in          3.794e-01   0.926806344   3.212e-01     no    4751360      0  (464, 10240)
 11 attn post_attn        3.769e-01   0.927839993   3.217e-01     no    4751360      0  (464, 10240)
 12 ssm  in               3.790e-01   0.927063863   3.210e-01     no    4751358      0  (464, 10240)
 12 ssm  hc_pre_mixed     4.451e-01   0.900826346   4.734e+00     no    1182382      0  (464, 2560)
 12 ssm  hc_pre_inj       1.230e-01   0.992536919   3.919e-02     no       1720      0  (464, 4)
 12 ssm  qkvz_preconv     2.076e-01   0.978253197   8.562e+00     no    7520601      0  (464, 16384)
 12 ssm  gates            4.079e-02   0.999169069   5.151e-01     no      44320      0  (464, 96)
 12 ssm  post_conv        2.287e-01   0.973679074   1.752e+00     no    4711608      0  (464, 10240)
 12 ssm  raw_recur        2.163e-01   0.976985327   1.843e-02     no    2835418      0  (464, 6144)
 12 ssm  pre_out_proj     4.409e-01   0.910038522   1.485e+00     no    2838444      0  (464, 6144)
 12 ssm  block_out        4.923e-01   0.887221821   7.075e-01     no    1182843      0  (464, 2560)
 12 ssm  post_gdn         3.805e-01   0.926511697   3.222e-01     no    4751359      0  (464, 10240)
 12 ssm  post_moe         3.799e-01   0.926862051   3.203e-01     no    4751359      0  (464, 10240)
 13 ssm  in               3.799e-01   0.926862051   3.203e-01     no    4751359      0  (464, 10240)
 13 ssm  hc_pre_mixed     4.661e-01   0.891373258   5.179e+00     no    1182909      0  (464, 2560)
 13 ssm  hc_pre_inj       1.377e-01   0.990836210   6.791e-02     no       1738      0  (464, 4)
 13 ssm  qkvz_preconv     2.278e-01   0.973814336   1.152e+01     no    7528292      0  (464, 16384)
 13 ssm  gates            5.818e-02   0.998315465   7.227e-01     no      44525      0  (464, 96)
 13 ssm  post_conv        2.829e-01   0.959734342   1.008e+00     no    4722397      0  (464, 10240)
 13 ssm  raw_recur        2.380e-01   0.971507422   1.407e-02     no    2838242      0  (464, 6144)
