metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.1000,0.9434,1.0000,3.0000,0.5000,1.7000,7
cargo_toml_valid,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
cargo_toml_present,rate,10,0.6000,0.4899,1.0000,1.0000,0.3000,0.9000,6
tool_calls_total,count,10,8.7000,7.8237,10.0000,22.0000,4.1000,13.7000,10
write_calls,count,10,2.5000,2.5000,2.0000,9.0000,1.2000,4.2000,8
drift_empty_path,count,10,0.8000,1.7776,0.0000,6.0000,0.0000,2.0000,3
drift_path_outside_target,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.0000,0.7746,1.0000,2.0000,0.5000,1.5000,7
atlas_ws1_mask_fires,count,10,1.7000,1.1000,2.0000,4.0000,1.0000,2.4000,8
atlas_b1_drift_fires,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_tier5c_retries,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,8.5000,7.6059,10.0000,22.0000,4.1000,13.4000,10
wall_time_s,count,10,309.7258,271.0583,184.5662,900.0859,156.3336,488.2022,10
