metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,7,1.7143,1.1606,1.0000,3.0000,0.8571,2.5714,6
cargo_toml_valid,rate,7,0.1429,0.3499,0.0000,1.0000,0.0000,0.4286,1
cargo_toml_present,rate,7,0.8571,0.3499,1.0000,1.0000,0.5714,1.0000,6
tool_calls_total,count,7,11.1429,5.2761,10.0000,20.0000,7.4286,15.0000,7
write_calls,count,7,3.8571,1.2454,4.0000,6.0000,3.0000,4.8571,7
drift_empty_path,count,7,0.4286,0.7284,0.0000,2.0000,0.0000,1.0000,2
drift_path_outside_target,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,7,0.4286,0.7284,0.0000,2.0000,0.0000,1.0000,2
drift_lean_prefix,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,7,2.4286,1.1780,2.0000,4.0000,1.5714,3.2857,7
atlas_ws1_mask_fires,count,7,7.2857,1.9795,7.0000,12.0000,6.2857,9.0000,7
atlas_b1_drift_fires,count,7,0.4286,0.4949,0.0000,1.0000,0.1429,0.8571,3
atlas_tier5c_retries,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,7,10.7143,4.9487,10.0000,20.0000,7.2857,14.5714,7
wall_time_s,count,7,237.4004,98.5233,214.5399,360.0832,165.3512,309.0899,7
