metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.8000,0.9798,2.0000,3.0000,1.2000,2.4000,9
cargo_toml_valid,rate,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
cargo_toml_present,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
tool_calls_total,count,10,9.2000,2.0396,9.0000,13.0000,8.0000,10.5000,10
write_calls,count,10,3.4000,1.6852,3.0000,7.0000,2.4000,4.5000,10
drift_empty_path,count,10,0.9000,1.3748,0.0000,4.0000,0.2000,1.8000,4
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.8000,0.6000,2.0000,3.0000,1.4000,2.2000,10
atlas_ws1_mask_fires,count,10,2.3000,1.1000,2.0000,4.0000,1.6000,3.0000,9
atlas_b1_drift_fires,count,10,0.3000,0.6403,0.0000,2.0000,0.0000,0.8000,2
atlas_tier5c_retries,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,8.9000,1.8682,9.0000,12.0000,7.8000,10.1000,10
wall_time_s,count,10,360.0879,0.0087,360.0887,360.1048,360.0827,360.0934,10
