metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,2.0000,1.9494,2.0000,7.0000,1.0000,3.3000,8
cargo_toml_valid,rate,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
cargo_toml_present,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
tool_calls_total,count,10,15.7000,24.1497,7.0000,87.0000,5.7000,32.6000,10
write_calls,count,10,10.6000,25.1762,2.0000,86.0000,1.5000,27.7000,8
drift_empty_path,count,10,8.7000,25.1080,0.0000,84.0000,0.0000,25.6000,3
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,1.0000,0.7746,1.0000,2.0000,0.5000,1.5000,7
atlas_ws1_mask_fires,count,10,5.6000,7.4324,4.0000,24.0000,1.7000,10.7000,7
atlas_b1_drift_fires,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_tier5c_retries,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,15.5000,24.1878,6.0000,87.0000,5.6000,32.4000,10
wall_time_s,count,10,238.6734,88.0366,212.4457,360.0832,185.6817,293.8038,10
