metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.6000,1.3565,2.0000,4.0000,0.8000,2.5000,7
cargo_toml_valid,rate,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
cargo_toml_present,rate,10,0.7000,0.4583,1.0000,1.0000,0.4000,1.0000,7
tool_calls_total,count,10,9.8000,4.2615,12.0000,16.0000,7.0000,12.3000,10
write_calls,count,10,2.4000,1.8000,2.0000,7.0000,1.4000,3.6000,9
drift_empty_path,count,10,0.7000,1.1000,0.0000,3.0000,0.0000,1.4000,3
drift_path_outside_target,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.8000,0.9798,1.0000,3.0000,0.2000,1.4000,5
atlas_ws1_mask_fires,count,10,4.4000,4.9639,3.0000,19.0000,2.3000,7.9000,10
atlas_b1_drift_fires,count,10,1.2000,1.6000,1.0000,5.0000,0.3000,2.3000,5
atlas_tier5c_retries,count,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,9.3000,4.0262,11.0000,16.0000,6.7000,11.7000,10
wall_time_s,count,10,336.2262,71.5351,360.0788,360.0973,288.5323,360.0805,10
