metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,3,2.0000,1.6330,2.0000,4.0000,0.0000,4.0000,2
cargo_toml_valid,rate,3,0.3333,0.4714,0.0000,1.0000,0.0000,1.0000,1
cargo_toml_present,rate,3,0.6667,0.4714,1.0000,1.0000,0.0000,1.0000,2
tool_calls_total,count,3,5.6667,3.6818,6.0000,10.0000,1.0000,10.0000,3
write_calls,count,3,2.3333,1.6997,3.0000,4.0000,0.0000,4.0000,2
drift_empty_path,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,3,0.6667,0.9428,0.0000,2.0000,0.0000,2.0000,1
drift_path_literal_space,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,3,1.0000,1.4142,0.0000,3.0000,0.0000,3.0000,1
atlas_ws1_mask_fires,count,3,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,3
atlas_b1_drift_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tier5c_retries,count,3,0.3333,0.4714,0.0000,1.0000,0.0000,1.0000,1
atlas_a2_fuzzy_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,3,5.0000,2.9439,6.0000,8.0000,1.0000,8.0000,3
wall_time_s,count,3,273.3250,122.6942,360.0826,360.0833,99.8092,360.0833,3
