metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,5.4000,12.5714,2.0000,43.0000,0.7000,14.0000,7
cargo_toml_valid,rate,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
cargo_toml_present,rate,10,0.7000,0.4583,1.0000,1.0000,0.4000,1.0000,7
tool_calls_total,count,10,7.6000,5.5534,7.0000,21.0000,4.5000,11.3000,10
write_calls,count,10,2.0000,1.7321,2.0000,6.0000,1.0000,3.1000,7
drift_empty_path,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.9000,1.0440,1.0000,3.0000,0.3000,1.6000,5
atlas_ws1_mask_fires,count,10,1.7000,1.4866,2.0000,5.0000,0.8000,2.7000,7
atlas_b1_drift_fires,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_tier5c_retries,count,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,7.2000,5.6533,6.0000,21.0000,4.1000,11.1000,10
wall_time_s,count,10,284.5523,115.5164,360.0747,360.1101,207.9231,360.0736,10
