metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,5,1.4000,1.2000,2.0000,3.0000,0.4000,2.4000,3
cargo_toml_valid,rate,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
cargo_toml_present,rate,5,0.6000,0.4899,1.0000,1.0000,0.2000,1.0000,3
tool_calls_total,count,5,4.8000,2.4819,6.0000,8.0000,2.6000,6.8000,5
write_calls,count,5,2.2000,2.2271,2.0000,6.0000,0.4000,4.2000,3
drift_empty_path,count,5,0.2000,0.4000,0.0000,1.0000,0.0000,0.6000,1
drift_path_outside_target,count,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,5,1.0000,1.5492,0.0000,4.0000,0.0000,2.6000,2
atlas_ws1_mask_fires,count,5,1.8000,0.9798,2.0000,3.0000,0.8000,2.6000,4
atlas_b1_drift_fires,count,5,0.2000,0.4000,0.0000,1.0000,0.0000,0.6000,1
atlas_tier5c_retries,count,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,5,5.0000,2.1909,6.0000,8.0000,3.2000,6.8000,5
wall_time_s,count,5,334.0097,52.1077,360.0559,360.0801,281.9002,360.0731,5
