metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,982.7000,238.3044,922.0000,1438.0000,837.3000,1129.7000,10
cargo_toml_valid,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
cargo_toml_present,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
webserver_ok,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
followed_directions,rate,10,0.9000,0.3000,1.0000,1.0000,0.7000,1.0000,9
fd_steps_completed,count,10,5.7000,0.9000,6.0000,6.0000,5.1000,6.0000,10
tool_calls_total,count,10,13.0000,5.0596,12.0000,23.0000,10.1000,16.5000,10
write_calls,count,10,2.2000,0.7483,2.0000,4.0000,1.8000,2.7000,10
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,10,150.2998,76.9568,117.5562,333.7357,107.8328,202.5650,10
