metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,325.2000,412.3263,3.0000,951.0000,89.4000,592.3000,5
cargo_toml_valid,rate,10,0.5000,0.5000,1.0000,1.0000,0.2000,0.8000,5
cargo_toml_present,rate,10,0.5000,0.5000,1.0000,1.0000,0.2000,0.8000,5
webserver_ok,rate,10,0.4000,0.4899,0.0000,1.0000,0.1000,0.7000,4
followed_directions,rate,10,0.3000,0.4583,0.0000,1.0000,0.0000,0.6000,3
fd_steps_completed,count,10,2.2000,2.6382,1.0000,6.0000,0.7000,3.9000,5
tool_calls_total,count,10,4.9000,5.6294,3.0000,15.0000,1.5000,8.5000,5
write_calls,count,10,1.0000,1.0954,1.0000,3.0000,0.4000,1.7000,5
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,10,273.8594,110.7480,360.0181,360.0327,204.4523,337.8030,10
