metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,346.3000,358.9889,527.0000,891.0000,129.6000,572.9000,8
cargo_toml_valid,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
cargo_toml_present,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
webserver_ok,rate,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
followed_directions,rate,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
fd_steps_completed,count,10,2.2000,1.6613,2.0000,6.0000,1.2000,3.2000,8
tool_calls_total,count,10,9.7000,4.5837,11.0000,16.0000,6.7000,12.5000,9
write_calls,count,10,3.2000,1.9391,3.0000,6.0000,2.0000,4.4000,9
drift_empty_path,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,10,1.2000,1.7205,0.0000,5.0000,0.2000,2.3000,4
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,10,87.8726,16.0581,88.6092,113.3643,77.6009,97.6100,10
