metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,1.4000,1.2000,1.0000,4.0000,0.7000,2.2000,8
cargo_toml_valid,rate,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
cargo_toml_present,rate,10,0.8000,0.4000,1.0000,1.0000,0.5000,1.0000,8
tool_calls_total,count,10,7.3000,3.3481,7.0000,12.0000,5.2000,9.4000,10
write_calls,count,10,3.2000,1.6613,3.0000,7.0000,2.3000,4.3000,10
drift_empty_path,count,10,0.8000,0.9798,1.0000,3.0000,0.2000,1.4000,5
drift_path_outside_target,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_toml_newlines_collapsed,count,10,0.7000,0.9000,0.0000,2.0000,0.2000,1.3000,4
atlas_ws1_mask_fires,count,10,1.9000,0.3000,2.0000,2.0000,1.7000,2.0000,10
atlas_b1_drift_fires,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_tier5c_retries,count,10,0.7000,0.7810,1.0000,2.0000,0.2000,1.2000,5
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,6.6000,3.4986,6.0000,11.0000,4.4000,8.8000,10
wall_time_s,count,10,312.3459,81.8752,360.0771,360.0881,255.5346,355.9637,10
