metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,799.2000,414.3549,908.0000,1260.0000,525.6000,1028.6000,10
cargo_toml_valid,rate,10,0.9000,0.3000,1.0000,1.0000,0.7000,1.0000,9
cargo_toml_present,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
tool_calls_total,count,10,18.7000,4.4283,20.0000,27.0000,16.0000,21.6000,10
write_calls,count,10,3.2000,1.3266,4.0000,5.0000,2.4000,4.0000,10
drift_empty_path,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,18.0000,7.1833,16.0000,30.0000,13.8000,22.6000,10
atlas_b1_drift_fires,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_tier5c_retries,count,10,0.1000,0.3000,0.0000,1.0000,0.0000,0.3000,1
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,17.3000,4.1485,17.0000,23.0000,14.8000,19.9000,10
wall_time_s,count,10,324.0856,56.0653,360.0454,360.0813,284.6330,353.0711,10
