metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,826.7000,307.9136,897.0000,1096.0000,608.1000,981.8000,10
cargo_toml_valid,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
cargo_toml_present,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
tool_calls_total,count,10,13.3000,3.6620,14.0000,22.0000,11.3000,15.7000,10
write_calls,count,10,2.5000,1.0247,2.0000,4.0000,1.9000,3.2000,10
drift_empty_path,count,10,0.3000,0.9000,0.0000,3.0000,0.0000,0.9000,1
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,10,205.9808,75.4009,201.5149,360.0298,162.5116,254.7000,10
