metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,3,992.6667,142.3665,893.0000,1194.0000,891.0000,1194.0000,3
cargo_toml_valid,rate,3,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,3
cargo_toml_present,rate,3,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,3
tool_calls_total,count,3,14.0000,2.9439,15.0000,17.0000,10.0000,17.0000,3
write_calls,count,3,2.0000,0.0000,2.0000,2.0000,2.0000,2.0000,3
drift_empty_path,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_outside_target,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tier5c_retries,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,3,14.0000,2.9439,15.0000,17.0000,10.0000,17.0000,3
wall_time_s,count,3,282.1058,110.2574,360.0548,360.0842,126.1783,360.0842,3
