metric,kind,n,mean,std,p50,p90,ci_lo_95,ci_hi_95,nonzero_runs
files_written,count,10,892.9000,314.7477,929.0000,1198.0000,674.4000,1043.8000,10
cargo_toml_valid,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
cargo_toml_present,rate,10,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,10
tool_calls_total,count,10,15.0000,2.5298,16.0000,19.0000,13.4000,16.5000,10
write_calls,count,10,2.1000,0.7000,2.0000,4.0000,1.7000,2.6000,10
drift_empty_path,count,10,0.4000,1.2000,0.0000,4.0000,0.0000,1.2000,1
drift_path_outside_target,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_path_literal_space,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_lean_prefix,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_bash_as_content,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_xml_attr_leak,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
drift_toml_newlines_collapsed,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_ws1_mask_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_b1_drift_fires,count,10,0.2000,0.4000,0.0000,1.0000,0.0000,0.5000,2
atlas_tier5c_retries,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_a2_fuzzy_fires,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
atlas_tool_call_lines,count,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
wall_time_s,count,10,167.0323,79.7479,165.9659,360.0441,122.4189,221.2999,10
